"","systems","sysname","ref_order","blackhole_prob","bh_se","non_pulsar_prob","np_se","pulsar_prob","p_se","source_type"
"1","LMCX-3","LMCX-3",1,0.696115549975579,0.0152652719781949,0.2690442196743,0.0155502360550495,0.0349830279756309,0.00291391337299361,"BH"
"2","LMCX-1","LMCX-1",2,0.719997550008363,0.0184284615639406,0.20899769896556,0.0194721700889887,0.0751875274063561,0.0103122969172921,"BH"
"3","MAXIJ1535-571","MAXIJ1535-571",3,0.590394709504134,0.032536980266724,0.348694816997955,0.0321055327345864,0.0611895974703857,0.00275418329747559,"BH"
"4","4U1630","4U1630",4,0.438836232076767,0.0308024684022104,0.467891340216996,0.0426259885526577,0.0905585754138846,0.0153913844414071,"BH"
"5","GX339-4","GX339-4",5,0.67066535688955,0.0185046624045566,0.270788847287842,0.0153861195406035,0.0579063324228451,0.0062922990592347,"BH"
"6","GRS1739","GRS1739",6,0.240398605241163,0.0175557540771629,0.69665360161043,0.0159335414493113,0.0616846157852953,0.0091659711194731,"BH"
"7","H1743","H1743",7,0.315239785006453,0.0120542208915024,0.53627328533041,0.015405960091263,0.153259153496667,0.0127555592752525,"BH"
"8","MAXIJ1820+070","MAXIJ1820+070",8,0.406256862058334,0.0127118111483498,0.496909495102007,0.00978414619577663,0.100082620476906,0.00944589282875962,"BH"
"9","GRS1915","GRS1915",9,0.206263837095547,0.0134740504689769,0.715152705561716,0.0132568371439878,0.0753293655716684,0.00525348653614049,"BH"
"10","CygX-1","CygX-1",10,0.668904229089676,0.0136928041667267,0.303587005195749,0.0110127443043603,0.027836527348856,0.00420305643309642,"BH"
"11","4U1957+115","4U1957+115",11,0.459273925384513,0.0196943697055508,0.503612595682489,0.0171160734684154,0.0356812292220071,0.00474497611192463,"BH"
"12","CygX-3","CygX-3",12,0.0760374508182066,0.0102989436542678,0.174177802514549,0.0235537361553534,0.741895322219351,0.0243065218622755,"BH"
"13","H0614+091","H0614+091",13,0.388059746034483,0.0259786329974077,0.574323382075963,0.0250612063983477,0.0363475263006212,0.00200823273750079,"NS"
"14","4U1254-690","4U1254-690",14,0.356619181855791,0.016605062576236,0.538964097200057,0.0188678931087056,0.0988961770058264,0.0141729559069803,"NS"
"15","CirX-1","CirX-1",15,0.27330460445966,0.0138235056181452,0.556436795122454,0.0145746991274591,0.172809670121866,0.0139290312490138,"NS"
"16","4U1608-52","4U1608-52",16,0.26561232598927,0.0183413402867028,0.69632542173588,0.0188494613905551,0.0380622522748501,0.00285512835338236,"NS"
"17","ScoX-1","ScoX-1",17,0.125264241524007,0.0110383054160137,0.841100518954387,0.00884390663880948,0.0323575065781824,0.00464353848152838,"NS"
"18","H1636-536","H1636-536",18,0.237714915153489,0.00535931687309632,0.676087532304724,0.0100277979793154,0.0906269799824903,0.00886330446853802,"NS"
"19","4U1700-37","4U1700-37",19,0.207153521216941,0.015036419019961,0.381017265768757,0.020563747939156,0.411657599717406,0.0211037708523794,"NS"
"20","GX349+2","GX349+2",20,0.109109104090221,0.00706365939900954,0.82770790541256,0.00551982822326428,0.0633766264574307,0.00468986054220971,"NS"
"21","4U1705-44","4U1705-44",21,0.139479313713242,0.00692410337658872,0.808190938713029,0.00754405546351173,0.0545612974900718,0.00440457319325908,"NS"
"22","GX9+9","GX9+9",22,0.128493401973987,0.0108136180564155,0.821305404017082,0.0117201828080755,0.052334574797383,0.0063297046029121,"NS"
"23","GX3+1","GX3+1",23,0.347196765371113,0.0270942861672548,0.571223819887759,0.0274398760803261,0.0781407369257426,0.00361573832777577,"NS"
"24","GX5-1","GX5-1",24,0.226196322825858,0.0188906760381606,0.74496787961879,0.0222063171889212,0.0284922758193761,0.00594675692228315,"NS"
"25","GX9+1","GX9+1",25,0.127538610622703,0.00887141065215571,0.83972796105576,0.00920358657810096,0.0373825073372303,0.00445981117512306,"NS"
"26","GX13+1","GX13+1",26,0.221993511426772,0.0125272350372635,0.758368632221734,0.0143825392830274,0.0186585261412563,0.00352813444660212,"NS"
"27","GX17+2","GX17+2",27,0.0999158448002175,0.00952026306551574,0.84135628776788,0.0117265638946699,0.0570405076411612,0.00620064513612349,"NS"
"28","SerX-1","SerX-1",28,0.157731575356756,0.0128764327840321,0.802650003983381,0.0120935819378015,0.0375976385227134,0.00475854079853107,"NS"
"29","HETEJ1900.1-2455","HETEJ1900.1-2455",29,0.254636583179781,0.0177071080817548,0.555517143473782,0.0178412872006024,0.176895499052491,0.0199988626180936,"NS"
"30","AqlX-1","AqlX-1",30,0.235369504158844,0.00948041473356911,0.721316552461546,0.0108013519852037,0.0415723294008829,0.00468051538486086,"NS"
"31","4U1916-053","4U1916-053",31,0.267824743423478,0.017475819856607,0.647656439543372,0.0202922227806775,0.0883895196800213,0.00948661867275553,"NS"
"32","CygX-2","CygX-2",32,0.197165374806546,0.00850934691442809,0.775870969387144,0.00837902751354394,0.0293141565299972,0.00215404638184529,"NS"
"33","SMCX-1","SMCX-1",33,0.139038463221549,0.0181573704526126,0.173385369307936,0.0148969518813049,0.686389189752896,0.0291011570794698,"Pulsar"
"34","LMCX-4","LMCX-4",34,0.184092406593635,0.0171663512769541,0.346419325010814,0.0154792748211282,0.470575420789388,0.0125931688464159,"Pulsar"
"35","1A0535+262","1A0535+262",35,0.0996824051399063,0.00553183939128886,0.344548576420465,0.016040735313648,0.555150311430053,0.0167902095890839,"Pulsar"
"36","VelaX-1","VelaX-1",36,0.262315996758848,0.0203283167487041,0.112271639813804,0.0121114394056572,0.620169440472897,0.0283315123505839,"Pulsar"
"37","GROJ1008-57","GROJ1008-57",37,0.140209099758564,0.0063356396829084,0.279917524056865,0.00994794120042779,0.584708286236784,0.0143896546834934,"Pulsar"
"38","CenX-3","CenX-3",38,0.103014707269953,0.0036258234478007,0.143384665039701,0.0120677316829234,0.75400585540867,0.013423717101376,"Pulsar"
"39","GX301-2","GX301-2",39,0.184571060459703,0.0220722272071571,0.0766820264051898,0.00990981552521018,0.743027292236969,0.0230345817660799,"Pulsar"
"40","4U1538-52","4U1538-52",40,0.106572808066332,0.00648418126157364,0.224897844003712,0.00739373370323632,0.671661923392028,0.00888731714161244,"Pulsar"
"41","4U1626-67","4U1626-67",41,0.1190120959275,0.00860480691519134,0.273427616403953,0.022502167799903,0.617340872860631,0.0237299755772307,"Pulsar"
"42","HerX-1","HerX-1",42,0.0672238981679016,0.00495402263144789,0.0870565999884206,0.00843608164306738,0.844686088489767,0.0118012210762956,"Pulsar"
"43","OAO1657","OAO1657",43,0.147772971674001,0.00436413046503726,0.231484632667694,0.010125388629668,0.618587809104495,0.0105428337616535,"Pulsar"
"44","4U1822-37","4U1822-37",44,0.0991189771700105,0.0100107537771563,0.108003632135343,0.0122823497345886,0.793417209307055,0.0175254458857299,"Pulsar"
